name,name_japanese,bats,throws,birth_country,team,position,played_in_mlb,hall_of_fame,meikyukai
Hiroki Kokubo,,,,Japan,SoftBank Hawks,First Baseman,0,0,0
Yoshinobu Yamamoto,山本 由伸,,,Japan,Orix Buffaloes,Pitcher,0,0,0
Masataka Yoshida,吉田 正尚,,,Japan,Orix Buffaloes,Left Fielder,1,0,0
Yutaka Fukumoto,,,,Japan,Orix Braves,Center Fielder,0,0,0
Ichiro Suzuki,,,,Japan,Orix BlueWave,Center Fielder,1,0,0
Hisashi Yamada,,,,Japan,Hankyu Braves,Pitcher,0,0,0
Tuffy Rhodes,,,,Japan,Kintetsu Buffaloes,Left Fielder,0,0,0
Takuya Asao,,,,Japan,Chunichi Dragons,Pitcher,0,0,0
Hiromitsu Ochiai,,,,Japan,Lotte Orions,First Baseman,0,1,1
Daisuke Yamai,,,,Japan,Chunichi Dragons,Pitcher,0,0,0
Kosuke Fukudome,,,,Japan,Chunichi Dragons,Right Fielder,1,0,0
Kenshin Kawakami,,,,Japan,Chunichi Dragons,Pitcher,0,0,0
Shinichi Sato,,,,Japan,Chunichi Dragons,Left Fielder,0,0,0
Koji Yamamoto,,,,Japan,Hiroshima Toyo Carp,Center Fielder,0,1,1
Seiya Suzuki,,,,Japan,Hiroshima Toyo Carp,Right Fielder,0,0,0
Kris Johnson,,,,Japan,Hiroshima Toyo Carp,Pitcher,0,0,0
Takahiro Arai,,,,Japan,Hiroshima Toyo Carp,First Baseman,0,0,0
Tomonori Maeda,,,,Japan,Hiroshima Toyo Carp,Right Fielder,0,0,0
Tadahito Iguchi,,,,Japan,Chiba Lotte Marines,Second Baseman,1,0,0
Roki Sasaki,,,,Japan,Chiba Lotte Marines,Pitcher,0,0,0
Katsuya Kakunaka,,,,Japan,Chiba Lotte Marines,Left Fielder,0,0,0
Kazuya Fukuura,,,,Japan,Chiba Lotte Marines,First Baseman,0,0,0
Kazuhiro Wada,,,,Japan,Seibu Lions,Left Fielder,0,0,0
Koji Akiyama,,,,Japan,Seibu Lions,Center Fielder,0,1,1
Daisuke Matsuzaka,,,,Japan,Seibu Lions,Pitcher,1,0,0
Takeya Nakamura,,,,Japan,Seibu Lions,First Baseman,0,0,0
Kazuhisa Inao,,,,Japan,Nishitetsu Lions,Pitcher,0,1,1
Takuro Ishii,,,,Japan,Yokohama BayStars,Shortstop,0,0,0
Takahiro Saeki,,,,Japan,Yokohama BayStars,Left Fielder,0,0,0
Shun Yamaguchi,,,,Japan,Yokohama BayStars,Pitcher,0,0,0
Daisuke Miura,,,,Japan,Yokohama DeNA BayStars,Pitcher,0,0,0
Yoshitomo Tsutsugo,,,,Japan,Yokohama DeNA BayStars,Left Fielder,0,0,0
Masahiro Tanaka,田中 将大,,,Japan,Rakuten Eagles,Pitcher,1,0,0
Kazuo Matsui,松井 稼頭央,S,,Japan,Rakuten Eagles,Shortstop,1,0,0
Hideto Asamura,,,,Japan,Rakuten Eagles,Second Baseman,0,0,0
Shohei Ohtani,大谷 翔平,,,Japan,Nippon-Ham Fighters,Pitcher,1,0,0
Yu Darvish,ダルビッシュ 有,,,Japan,Nippon-Ham Fighters,Pitcher,1,0,0
Atsunori Inaba,稲葉 篤紀,,,Japan,Yakult Swallows,Left Fielder,0,0,1
