name,name_japanese,team,year,position,games,innings,po,a,e,fpct
Ichiro Suzuki,,Orix BlueWave,2024,Right Fielder,,,,,,
Hisashi Yamada,,Hankyu Braves,2024,Pitcher,,,,,,
Tuffy Rhodes,,Kintetsu Buffaloes,2024,Left Fielder,,,,,,
Tuffy Rhodes,,Kintetsu Buffaloes,2024,Right Fielder,,,,,,
Tuffy Rhodes,,Kintetsu Buffaloes,2024,Center Fielder,,,,,,
Tuffy Rhodes,,Kintetsu Buffaloes,2024,Designated Hitter,,,,,,
Takuya Asao,,Chunichi Dragons,2024,Pitcher,,,,,,
Hiromitsu Ochiai,,Lotte Orions,2024,First Baseman,,,,,,
Hiromitsu Ochiai,,Lotte Orions,2024,Third Baseman,,,,,,
Daisuke Yamai,,Chunichi Dragons,2024,Pitcher,,,,,,
Kosuke Fukudome,,Chunichi Dragons,2024,Right Fielder,,,,,,
Kosuke Fukudome,,Chunichi Dragons,2024,Center Fielder,,,,,,
Kenshin Kawakami,,Chunichi Dragons,2024,Pitcher,,,,,,
Shinichi Sato,,Chunichi Dragons,2024,Left Fielder,,,,,,
Koji Yamamoto,,Hiroshima Toyo Carp,2024,Center Fielder,,,,,,
Seiya Suzuki,,Hiroshima Toyo Carp,2024,Right Fielder,,,,,,
Kris Johnson,,Hiroshima Toyo Carp,2024,Pitcher,,,,,,
Takahiro Arai,,Hiroshima Toyo Carp,2024,First Baseman,,,,,,
Takahiro Arai,,Hiroshima Toyo Carp,2024,Third Baseman,,,,,,
Tomonori Maeda,,Hiroshima Toyo Carp,2024,Right Fielder,,,,,,
Tomonori Maeda,,Hiroshima Toyo Carp,2024,Left Fielder,,,,,,
Tadahito Iguchi,,Chiba Lotte Marines,2024,Second Baseman,,,,,,
Roki Sasaki,,Chiba Lotte Marines,2024,Pitcher,,,,,,
Katsuya Kakunaka,,Chiba Lotte Marines,2024,Left Fielder,,,,,,
Kazuya Fukuura,,Chiba Lotte Marines,2024,First Baseman,,,,,,
Kazuhiro Wada,,Seibu Lions,2024,Left Fielder,,,,,,
Kazuhiro Wada,,Seibu Lions,2024,Catcher,,,,,,
Kazuhiro Wada,,Seibu Lions,2024,Designated Hitter,,,,,,
Koji Akiyama,,Seibu Lions,2024,Center Fielder,,,,,,
Daisuke Matsuzaka,,Seibu Lions,2024,Pitcher,,,,,,
Takeya Nakamura,,Seibu Lions,2024,First Baseman,,,,,,
Kazuhisa Inao,,Nishitetsu Lions,2024,Pitcher,,,,,,
Takuro Ishii,,Yokohama BayStars,2024,Shortstop,,,,,,
Takahiro Saeki,,Yokohama BayStars,2024,Left Fielder,,,,,,
Takahiro Saeki,,Yokohama BayStars,2024,First Baseman,,,,,,
Shun Yamaguchi,,Yokohama BayStars,2024,Pitcher,,,,,,
Daisuke Miura,,Yokohama DeNA BayStars,2024,Pitcher,,,,,,
Yoshitomo Tsutsugo,,Yokohama DeNA BayStars,2024,Left Fielder,,,,,,
Yoshitomo Tsutsugo,,Yokohama DeNA BayStars,2024,First Baseman,,,,,,
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,Pitcher,,,,,,
Kazuo Matsui,松井 稼頭央,Rakuten Eagles,2024,Shortstop,,,,,,
Hideto Asamura,,Rakuten Eagles,2024,Second Baseman,,,,,,
Hideto Asamura,,Rakuten Eagles,2024,First Baseman,,,,,,
Hideto Asamura,,Rakuten Eagles,2024,Designated Hitter,,,,,,
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,Pitcher,,,,,,
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,Designated Hitter,,,,,,
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Pitcher,,,,,,
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,Left Fielder,,,,,,
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,Right Fielder,,,,,,
