name,name_japanese,team,year,award
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,Golden Glove
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,All-Star
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,Wins Leader
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,ERA Leader
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,Strikeout Leader
Alex Ramirez,,Yakult Swallows,2024,MVP Winner
Alex Ramirez,,Yakult Swallows,2024,Best Nine
Alex Ramirez,,Yakult Swallows,2024,All-Star
Alex Ramirez,,Yakult Swallows,2024,Batting Champion
Alex Ramirez,,Yakult Swallows,2024,RBI Leader
Alex Ramirez,,Yakult Swallows,2024,Japan Series Champion
Randy Bass,,Hanshin Tigers,2024,MVP Winner
Randy Bass,,Hanshin Tigers,2024,Best Nine
Randy Bass,,Hanshin Tigers,2024,All-Star
Randy Bass,,Hanshin Tigers,2024,Batting Champion
Randy Bass,,Hanshin Tigers,2024,Home Run Leader
Randy Bass,,Hanshin Tigers,2024,RBI Leader
Yutaka Enatsu,,Hanshin Tigers,2024,MVP Winner
Yutaka Enatsu,,Hanshin Tigers,2024,Sawamura Award Winner
Yutaka Enatsu,,Hanshin Tigers,2024,Best Nine
Yutaka Enatsu,,Hanshin Tigers,2024,All-Star
Yutaka Enatsu,,Hanshin Tigers,2024,ERA Leader
Yutaka Enatsu,,Hanshin Tigers,2024,Wins Leader
Yutaka Enatsu,,Hanshin Tigers,2024,Strikeout Leader
Yutaka Enatsu,,Hanshin Tigers,2024,Japan Baseball Hall of Fame
Yutaka Enatsu,,Hanshin Tigers,2024,Meikyukai Member
Toru Murayama,,Hanshin Tigers,2024,MVP Winner
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,MVP Winner
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,Best Nine
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,All-Star
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,Japan Series Champion
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,Batting Champion
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,Home Run Leader
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,RBI Leader
Tetsuto Yamada,山田 哲人,Yakult Swallows,2024,MVP Winner
Tetsuto Yamada,山田 哲人,Yakult Swallows,2024,Best Nine
Tetsuto Yamada,山田 哲人,Yakult Swallows,2024,Golden Glove
Tetsuto Yamada,山田 哲人,Yakult Swallows,2024,All-Star
Tetsuto Yamada,山田 哲人,Yakult Swallows,2024,Stolen Base Leader
Wladimir Balentien,,Yakult Swallows,2024,MVP Winner
Wladimir Balentien,,Yakult Swallows,2024,Best Nine
Wladimir Balentien,,Yakult Swallows,2024,All-Star
Wladimir Balentien,,Yakult Swallows,2024,Home Run Leader
Wladimir Balentien,,Yakult Swallows,2024,RBI Leader
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,MVP Winner
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,Best Nine
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,Golden Glove
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,All-Star
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,Japan Series Champion
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,Japan Baseball Hall of Fame
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,Meikyukai Member
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,MVP Winner
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,Sawamura Award Winner
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,Best Nine
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,All-Star
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,Japan Series Champion
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,Wins Leader
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,Strikeout Leader
Kodai Senga,千賀 滉大,SoftBank Hawks,2024,Best Nine
Kodai Senga,千賀 滉大,SoftBank Hawks,2024,All-Star
Kodai Senga,千賀 滉大,SoftBank Hawks,2024,Japan Series Champion
Kodai Senga,千賀 滉大,SoftBank Hawks,2024,Strikeout Leader
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,MVP Winner
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Best Nine
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Golden Glove
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,All-Star
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Batting Champion
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Japan Series Champion
Tadahito Iguchi,,SoftBank Hawks,2024,MVP Winner
Tadahito Iguchi,,SoftBank Hawks,2024,Best Nine
Tadahito Iguchi,,SoftBank Hawks,2024,Golden Glove
Tadahito Iguchi,,SoftBank Hawks,2024,All-Star
Tadahito Iguchi,,SoftBank Hawks,2024,Japan Series Champion
Katsuya Nomura,野村 克也,Nankai Hawks,2024,MVP Winner
Katsuya Nomura,野村 克也,Nankai Hawks,2024,Best Nine
Katsuya Nomura,野村 克也,Nankai Hawks,2024,All-Star
Katsuya Nomura,野村 克也,Nankai Hawks,2024,Batting Champion
Katsuya Nomura,野村 克也,Nankai Hawks,2024,Home Run Leader
Katsuya Nomura,野村 克也,Nankai Hawks,2024,RBI Leader
Katsuya Nomura,野村 克也,Nankai Hawks,2024,Japan Baseball Hall of Fame
Katsuya Nomura,野村 克也,Nankai Hawks,2024,Meikyukai Member
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,MVP Winner
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,Sawamura Award Winner
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,Best Nine
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,Golden Glove
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,All-Star
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,Japan Series Champion
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,Wins Leader
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,ERA Leader
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,Strikeout Leader
Masataka Yoshida,吉田 正尚,Orix Buffaloes,2024,Best Nine
Masataka Yoshida,吉田 正尚,Orix Buffaloes,2024,All-Star
Masataka Yoshida,吉田 正尚,Orix Buffaloes,2024,Batting Champion
Masataka Yoshida,吉田 正尚,Orix Buffaloes,2024,Japan Series Champion
Yutaka Fukumoto,,Orix Braves,2024,MVP Winner
Ichiro Suzuki,,Orix BlueWave,2024,MVP Winner
Ichiro Suzuki,,Orix BlueWave,2024,Rookie of the Year
Ichiro Suzuki,,Orix BlueWave,2024,Best Nine
Ichiro Suzuki,,Orix BlueWave,2024,Golden Glove
Ichiro Suzuki,,Orix BlueWave,2024,All-Star
Ichiro Suzuki,,Orix BlueWave,2024,Japan Series Champion
Ichiro Suzuki,,Orix BlueWave,2024,Batting Champion
Ichiro Suzuki,,Orix BlueWave,2024,Stolen Base Leader
Hisashi Yamada,,Hankyu Braves,2024,MVP Winner
Takuya Asao,,Chunichi Dragons,2024,MVP Winner
Takuya Asao,,Chunichi Dragons,2024,Best Nine
Takuya Asao,,Chunichi Dragons,2024,All-Star
Takuya Asao,,Chunichi Dragons,2024,Holds Leader
Hiromitsu Ochiai,,Lotte Orions,2024,MVP Winner
Hiromitsu Ochiai,,Lotte Orions,2024,Best Nine
Hiromitsu Ochiai,,Lotte Orions,2024,All-Star
Hiromitsu Ochiai,,Lotte Orions,2024,Batting Champion
Hiromitsu Ochiai,,Lotte Orions,2024,Home Run Leader
Hiromitsu Ochiai,,Lotte Orions,2024,RBI Leader
Hiromitsu Ochiai,,Lotte Orions,2024,Japan Baseball Hall of Fame
Hiromitsu Ochiai,,Lotte Orions,2024,Meikyukai Member
Kosuke Fukudome,,Chunichi Dragons,2024,MVP Winner
Kosuke Fukudome,,Chunichi Dragons,2024,Best Nine
Kosuke Fukudome,,Chunichi Dragons,2024,Golden Glove
Kosuke Fukudome,,Chunichi Dragons,2024,All-Star
Kosuke Fukudome,,Chunichi Dragons,2024,Japan Series Champion
Kosuke Fukudome,,Chunichi Dragons,2024,Batting Champion
Kosuke Fukudome,,Chunichi Dragons,2024,Stolen Base Leader
Kenshin Kawakami,,Chunichi Dragons,2024,MVP Winner
Koji Yamamoto,,Hiroshima Toyo Carp,2024,MVP Winner
Koji Yamamoto,,Hiroshima Toyo Carp,2024,Best Nine
Koji Yamamoto,,Hiroshima Toyo Carp,2024,Golden Glove
Koji Yamamoto,,Hiroshima Toyo Carp,2024,All-Star
Koji Yamamoto,,Hiroshima Toyo Carp,2024,Batting Champion
Koji Yamamoto,,Hiroshima Toyo Carp,2024,Home Run Leader
Koji Yamamoto,,Hiroshima Toyo Carp,2024,RBI Leader
Koji Yamamoto,,Hiroshima Toyo Carp,2024,Japan Baseball Hall of Fame
Koji Yamamoto,,Hiroshima Toyo Carp,2024,Meikyukai Member
Tadahito Iguchi,,Chiba Lotte Marines,2024,MVP Winner
Tadahito Iguchi,,Chiba Lotte Marines,2024,Best Nine
Tadahito Iguchi,,Chiba Lotte Marines,2024,Golden Glove
Tadahito Iguchi,,Chiba Lotte Marines,2024,All-Star
Tadahito Iguchi,,Chiba Lotte Marines,2024,Japan Series Champion
Roki Sasaki,,Chiba Lotte Marines,2024,All-Star
Kazuhiro Wada,,Seibu Lions,2024,MVP Winner
Kazuhiro Wada,,Seibu Lions,2024,Best Nine
Kazuhiro Wada,,Seibu Lions,2024,Golden Glove
Kazuhiro Wada,,Seibu Lions,2024,All-Star
Kazuhiro Wada,,Seibu Lions,2024,Batting Champion
Kazuhiro Wada,,Seibu Lions,2024,Japan Series Champion
Koji Akiyama,,Seibu Lions,2024,MVP Winner
Koji Akiyama,,Seibu Lions,2024,Best Nine
Koji Akiyama,,Seibu Lions,2024,Golden Glove
Koji Akiyama,,Seibu Lions,2024,All-Star
Koji Akiyama,,Seibu Lions,2024,Japan Series Champion
Koji Akiyama,,Seibu Lions,2024,Batting Champion
Koji Akiyama,,Seibu Lions,2024,Home Run Leader
Koji Akiyama,,Seibu Lions,2024,Stolen Base Leader
Koji Akiyama,,Seibu Lions,2024,Japan Baseball Hall of Fame
Koji Akiyama,,Seibu Lions,2024,Meikyukai Member
Daisuke Matsuzaka,,Seibu Lions,2024,MVP Winner
Daisuke Matsuzaka,,Seibu Lions,2024,Rookie of the Year
Daisuke Matsuzaka,,Seibu Lions,2024,Sawamura Award Winner
Daisuke Matsuzaka,,Seibu Lions,2024,Best Nine
Daisuke Matsuzaka,,Seibu Lions,2024,Golden Glove
Daisuke Matsuzaka,,Seibu Lions,2024,All-Star
Daisuke Matsuzaka,,Seibu Lions,2024,Japan Series Champion
Daisuke Matsuzaka,,Seibu Lions,2024,Strikeout Leader
Takeya Nakamura,,Seibu Lions,2024,MVP Winner
Kazuhisa Inao,,Nishitetsu Lions,2024,MVP Winner
Kazuhisa Inao,,Nishitetsu Lions,2024,Sawamura Award Winner
Kazuhisa Inao,,Nishitetsu Lions,2024,Best Nine
Kazuhisa Inao,,Nishitetsu Lions,2024,All-Star
Kazuhisa Inao,,Nishitetsu Lions,2024,Japan Series Champion
Kazuhisa Inao,,Nishitetsu Lions,2024,ERA Leader
Kazuhisa Inao,,Nishitetsu Lions,2024,Wins Leader
Kazuhisa Inao,,Nishitetsu Lions,2024,Strikeout Leader
Kazuhisa Inao,,Nishitetsu Lions,2024,Japan Baseball Hall of Fame
Kazuhisa Inao,,Nishitetsu Lions,2024,Meikyukai Member
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,MVP Winner
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,Sawamura Award Winner
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,Best Nine
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,Golden Glove
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,All-Star
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,Japan Series Champion
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,Wins Leader
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,ERA Leader
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,Strikeout Leader
Kazuo Matsui,松井 稼頭央,Rakuten Eagles,2024,MVP Winner
Kazuo Matsui,松井 稼頭央,Rakuten Eagles,2024,Best Nine
Kazuo Matsui,松井 稼頭央,Rakuten Eagles,2024,Golden Glove
Kazuo Matsui,松井 稼頭央,Rakuten Eagles,2024,All-Star
Kazuo Matsui,松井 稼頭央,Rakuten Eagles,2024,Stolen Base Leader
Hideto Asamura,,Rakuten Eagles,2024,Best Nine
Hideto Asamura,,Rakuten Eagles,2024,All-Star
Hideto Asamura,,Rakuten Eagles,2024,RBI Leader
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,MVP Winner
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,Best Nine
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,All-Star
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,Japan Series Champion
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,MVP Winner
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Sawamura Award Winner
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Best Nine
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Golden Glove
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,All-Star
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Japan Series Champion
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Climax Series MVP
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,ERA Leader
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Wins Leader
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,Strikeout Leader
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,MVP Winner
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,Best Nine
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,Golden Glove
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,All-Star
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,Japan Series Champion
Atsunori Inaba,稲葉 篤紀,Yakult Swallows,2024,Meikyukai Member
